# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "16" "-p" "-P" "-B" "-a" "/home/duc/dbMisc/M145.gff" "-t" "gene" "-g" "locus_tag" "--minOverlap" "20" "--fracOverlap" "0.25" "-o" "gene_counts_filtered/C24_2.txt" "align/C24_2.bam" 
Geneid	Chr	Start	End	Strand	Length	align/C24_2.bam
SCO0434	NC_003888.3	454546	456195	+	1650	71
SCO0435	NC_003888.3	456192	457397	+	1206	22
SCO0436	NC_003888.3	457484	457654	+	171	10
SCO0437	NC_003888.3	457670	458695	-	1026	31
SCO0438	NC_003888.3	458695	459345	-	651	7
SCO0439	NC_003888.3	459393	460367	-	975	18
SCO0440	NC_003888.3	460364	461083	-	720	17
SCO0441	NC_003888.3	461350	462102	+	753	91
SCO0442	NC_003888.3	462099	462857	+	759	41
SCO0443	NC_003888.3	462854	463711	+	858	67
SCO0444	NC_003888.3	463698	464099	-	402	52
SCO0445	NC_003888.3	464207	465502	-	1296	32
SCO0446	NC_003888.3	465496	465861	-	366	7
SCO0447	NC_003888.3	465990	466436	+	447	51
SCO0449	NC_003888.3	468153	469232	+	1080	6
SCO0450	NC_003888.3	469315	470304	-	990	9
SCO0451	NC_003888.3	470355	471209	-	855	37
SCO0452	NC_003888.3	471415	472314	+	900	222
SCO0453	NC_003888.3	472458	473747	+	1290	40
SCO0454	NC_003888.3	473848	474789	+	942	40
SCO0455	NC_003888.3	474804	475631	+	828	20
SCO0456	NC_003888.3	475628	476671	+	1044	26
SCO0457	NC_003888.3	476738	478672	+	1935	54
SCO0458	NC_003888.3	478669	480957	+	2289	50
SCO0459	NC_003888.3	481012	481791	+	780	173
SCO0460	NC_003888.3	481810	482319	-	510	195
SCO0461	NC_003888.3	482456	483325	+	870	347
SCO0462	NC_003888.3	483338	484267	-	930	638
SCO0463	NC_003888.3	484318	484932	+	615	201
SCO0464	NC_003888.3	484973	486670	-	1698	142
SCO0465	NC_003888.3	486684	487514	-	831	89
SCO0466	NC_003888.3	487618	488601	+	984	87
SCO0467	NC_003888.3	488614	489357	+	744	76
SCO0468	NC_003888.3	489373	490350	-	978	168
SCO0469	NC_003888.3	490451	490972	+	522	72
SCO0470	NC_003888.3	490983	491891	+	909	26
SCO0471	NC_003888.3	491901	492881	+	981	90
SCO0472	NC_003888.3	493055	494263	-	1209	66
SCO0473	NC_003888.3	494260	495249	-	990	12
SCO0474	NC_003888.3	495246	496493	-	1248	8
SCO0475	NC_003888.3	496508	497359	-	852	9
SCO0476	NC_003888.3	497375	498133	+	759	21
SCO0477	NC_003888.3	498238	498630	+	393	62
SCO0478	NC_003888.3	498683	499807	-	1125	154
SCO0479	NC_003888.3	499952	500776	-	825	115
SCO0480	NC_003888.3	500780	501412	+	633	1
SCO0481	NC_003888.3	501699	502217	+	519	8
SCO0482	NC_003888.3	502342	503076	+	735	26
SCO0483	NC_003888.3	503073	503474	-	402	51
SCO0484	NC_003888.3	503539	504705	-	1167	21
SCO0485	NC_003888.3	504854	505465	+	612	92
SCO0486	NC_003888.3	505447	506670	-	1224	42
SCO0487	NC_003888.3	506842	507348	+	507	184
SCO0488	NC_003888.3	507394	510810	+	3417	282
SCO0489	NC_003888.3	510823	511035	-	213	120
SCO0490	NC_003888.3	511124	512215	+	1092	519
SCO0491	NC_003888.3	512302	513924	-	1623	821
SCO0492	NC_003888.3	513989	524920	-	10932	3600
SCO0493	NC_003888.3	524978	526783	-	1806	2599
SCO0494	NC_003888.3	526786	527838	-	1053	3395
SCO0495	NC_003888.3	527889	528752	-	864	944
SCO0496	NC_003888.3	528791	529897	-	1107	473
SCO0497	NC_003888.3	529894	530970	-	1077	886
SCO0498	NC_003888.3	530970	532325	-	1356	426
SCO0499	NC_003888.3	532501	533448	+	948	437
SCO0500	NC_003888.3	533534	533773	-	240	3129
SCO0501	NC_003888.3	533812	535764	-	1953	372
SCO0502	NC_003888.3	535974	536408	+	435	23
SCO0503	NC_003888.3	536532	537512	+	981	17
SCO0504	NC_003888.3	537623	538942	+	1320	795
SCO0505	NC_003888.3	539123	542131	+	3009	374
SCO0506	NC_003888.3	542269	543099	+	831	868
SCO0507	NC_003888.3	543119	543535	-	417	120
SCO0508	NC_003888.3	543545	544087	+	543	26
SCO0509	NC_003888.3	544194	545717	+	1524	340
SCO0511	NC_003888.3	546358	547116	+	759	71
SCO0512	NC_003888.3	547135	547743	-	609	155
SCO0513	NC_003888.3	547809	548900	+	1092	895
SCO0514	NC_003888.3	548968	549621	+	654	528
SCO0516	NC_003888.3	550455	551633	+	1179	119
SCO0517	NC_003888.3	551918	552115	+	198	4
SCO0518	NC_003888.3	552094	552351	+	258	9
SCO0519	NC_003888.3	552403	553140	-	738	22
SCO0520	NC_003888.3	553277	553861	+	585	66
SCO0521	NC_003888.3	553892	554473	+	582	342
SCO0522	NC_003888.3	554649	555440	+	792	85
SCO0523	NC_003888.3	555468	555905	-	438	95
SCO0524	NC_003888.3	555990	556898	+	909	123
SCO0525	NC_003888.3	557029	557844	+	816	1338
SCO0526	NC_003888.3	557882	558715	+	834	835
SCO0527	NC_003888.3	558812	559015	-	204	9118
SCO0528	NC_003888.3	559346	560098	+	753	96
SCO0529	NC_003888.3	560127	561545	-	1419	73
SCO0530	NC_003888.3	561731	562576	-	846	106
SCO0531	NC_003888.3	562803	564071	+	1269	14
SCO0532	NC_003888.3	564141	565049	+	909	18
SCO0533	NC_003888.3	565046	565903	+	858	20
SCO0534	NC_003888.3	566007	567626	+	1620	65
SCO0535	NC_003888.3	567623	569044	+	1422	49
SCO0536	NC_003888.3	569061	569282	-	222	172
SCO0537	NC_003888.3	569655	570482	+	828	77
SCO0538	NC_003888.3	570520	571848	+	1329	75
SCO0539	NC_003888.3	571863	572813	+	951	43
SCO0540	NC_003888.3	572810	573709	+	900	28
SCO0541	NC_003888.3	573756	575081	+	1326	66
SCO0542	NC_003888.3	575351	577984	+	2634	60
SCO0543	NC_003888.3	578092	579228	+	1137	135
SCO0544	NC_003888.3	579257	580789	+	1533	102
SCO0545	NC_003888.3	580913	583459	+	2547	116
