# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "16" "-p" "-P" "-B" "-a" "/home/duc/dbMisc/M145.gff" "-t" "gene" "-g" "locus_tag" "--minOverlap" "20" "--fracOverlap" "0.25" "-o" "gene_counts_filtered/D45_1.txt" "align/D45_1.bam" 
Geneid	Chr	Start	End	Strand	Length	align/D45_1.bam
SCO0167	NC_003888.3	157189	158073	-	885	157
SCO0168	NC_003888.3	158732	159304	+	573	92
SCO0169	NC_003888.3	159372	160025	+	654	126
SCO0170	NC_003888.3	160356	161027	-	672	269
SCO0171	NC_003888.3	161237	162553	+	1317	11
SCO0172	NC_003888.3	162661	163119	+	459	951
SCO0173	NC_003888.3	163235	164017	-	783	281
SCO0174	NC_003888.3	164023	164994	-	972	216
SCO0175	NC_003888.3	165059	165406	-	348	5
SCO0176	NC_003888.3	165460	165855	+	396	5
SCO0177	NC_003888.3	166033	166614	+	582	4
SCO0178	NC_003888.3	166891	167337	+	447	46
SCO0179	NC_003888.3	167444	168514	-	1071	252
SCO0180	NC_003888.3	168705	169556	-	852	42
SCO0181	NC_003888.3	169584	170570	-	987	40
SCO0182	NC_003888.3	170656	170880	-	225	2
SCO0183	NC_003888.3	170911	172158	+	1248	13
SCO0184	NC_003888.3	172170	173984	+	1815	11
SCO0185	NC_003888.3	173768	174946	+	1179	227
SCO0186	NC_003888.3	174943	176514	+	1572	424
SCO0187	NC_003888.3	176501	177496	+	996	293
SCO0188	NC_003888.3	177493	178503	+	1011	317
SCO0189	NC_003888.3	178519	180087	-	1569	331
SCO0190	NC_003888.3	180084	180824	-	741	159
SCO0191	NC_003888.3	180821	182038	-	1218	357
SCO0192	NC_003888.3	182309	183559	-	1251	735
SCO0193	NC_003888.3	183793	184797	-	1005	1170
SCO0194	NC_003888.3	184958	185566	+	609	2432
SCO0195	NC_003888.3	185675	186361	+	687	698
SCO0196	NC_003888.3	186483	186887	+	405	68
SCO0197	NC_003888.3	187019	187459	-	441	33
SCO0198	NC_003888.3	187992	188858	-	867	45
SCO0199	NC_003888.3	188864	189886	-	1023	43
SCO0200	NC_003888.3	189925	190830	-	906	43
SCO0201	NC_003888.3	190983	191654	-	672	16
SCO0202	NC_003888.3	191919	192848	+	930	47
SCO0203	NC_003888.3	192880	194637	-	1758	653
SCO0204	NC_003888.3	194760	195461	-	702	140
SCO0207	NC_003888.3	196386	196991	-	606	9
SCO0208	NC_003888.3	197221	199917	+	2697	133
SCO0209	NC_003888.3	200024	200428	+	405	74
SCO0210	NC_003888.3	200728	201369	+	642	19
SCO0211	NC_003888.3	201374	202090	+	717	37
SCO0212	NC_003888.3	202370	202843	-	474	43
SCO0213	NC_003888.3	202863	204101	-	1239	49
SCO0214	NC_003888.3	204387	204800	+	414	18
SCO0215	NC_003888.3	204881	205888	-	1008	29
SCO0216	NC_003888.3	206480	210181	+	3702	56
SCO0217	NC_003888.3	210183	211751	+	1569	18
SCO0218	NC_003888.3	211748	212551	+	804	9
SCO0219	NC_003888.3	212551	213321	+	771	24
SCO0220	NC_003888.3	213427	213870	+	444	16
SCO0222	NC_003888.3	214913	215446	+	534	198
SCO0223	NC_003888.3	215443	215559	+	117	41
SCO0224	NC_003888.3	215807	216844	-	1038	121
SCO0225	NC_003888.3	216834	217268	-	435	9
SCO0226	NC_003888.3	217315	218019	-	705	59
SCO0227	NC_003888.3	218418	218780	-	363	8
SCO0228	NC_003888.3	218973	219059	+	87	3
SCO0229	NC_003888.3	219302	220150	+	849	250
SCO0230	NC_003888.3	220150	220764	+	615	134
SCO0231	NC_003888.3	221092	221247	-	156	47
SCO0232	NC_003888.3	221414	221599	-	186	0
SCO0233	NC_003888.3	221699	222538	-	840	36
SCO0234	NC_003888.3	222827	223288	+	462	14
SCO0235	NC_003888.3	223294	224232	+	939	214
SCO0236	NC_003888.3	224404	225276	-	873	133
SCO0237	NC_003888.3	225476	226237	+	762	36
SCO0238	NC_003888.3	226481	227008	+	528	28
SCO0239	NC_003888.3	227081	228154	-	1074	52
SCO0240	NC_003888.3	228714	229649	-	936	34
SCO0241	NC_003888.3	229995	230669	+	675	80
SCO0242	NC_003888.3	231022	231465	+	444	206
SCO0243	NC_003888.3	231475	231654	+	180	92
SCO0244	NC_003888.3	232508	233518	+	1011	72
SCO0245	NC_003888.3	233854	234873	-	1020	97
SCO0246	NC_003888.3	234870	236207	-	1338	207
SCO0247	NC_003888.3	236782	237807	+	1026	790
SCO0248	NC_003888.3	237664	238251	-	588	236
SCO0249	NC_003888.3	238280	239794	-	1515	154
SCO0250	NC_003888.3	239858	240523	+	666	115
SCO0251	NC_003888.3	240559	240843	-	285	44
SCO0252	NC_003888.3	240876	242123	-	1248	62
SCO0253	NC_003888.3	242194	242766	+	573	45
SCO0254	NC_003888.3	243022	243762	-	741	103
SCO0255	NC_003888.3	243936	245672	-	1737	212
SCO0256	NC_003888.3	245986	246783	+	798	436
SCO0257	NC_003888.3	246868	247869	+	1002	286
SCO0258	NC_003888.3	247871	248680	+	810	299
SCO0259	NC_003888.3	248677	249702	+	1026	369
SCO0260	NC_003888.3	249755	250084	+	330	527
SCO0261	NC_003888.3	250164	250691	-	528	95
SCO0262	NC_003888.3	250805	251740	+	936	158
SCO0263	NC_003888.3	251764	252879	-	1116	75
SCO0264	NC_003888.3	252946	253398	+	453	174
SCO0265	NC_003888.3	253499	254290	+	792	1505
SCO0266	NC_003888.3	254332	255309	-	978	402
SCO0267	NC_003888.3	255311	256087	+	777	33
SCO0268	NC_003888.3	256281	256442	+	162	170
SCO0269	NC_003888.3	256526	259687	+	3162	267
SCO0270	NC_003888.3	259684	261084	+	1401	56
SCO0271	NC_003888.3	261366	262319	+	954	28
SCO0272	NC_003888.3	262330	263220	+	891	6
SCO0273	NC_003888.3	263285	264634	+	1350	17
SCO0274	NC_003888.3	264764	266263	+	1500	56
SCO0275	NC_003888.3	266356	267513	+	1158	111
SCO0276	NC_003888.3	267585	268838	+	1254	127
SCO0277	NC_003888.3	269020	269688	-	669	117
SCO0278	NC_003888.3	269783	270397	+	615	15
SCO0279	NC_003888.3	270477	271748	+	1272	112
SCO0280	NC_003888.3	271768	272469	-	702	35
SCO0281	NC_003888.3	272466	272834	-	369	11
SCO0282	NC_003888.3	272892	273656	+	765	89
SCO0283	NC_003888.3	274101	274595	-	495	43
SCO0284	NC_003888.3	274763	276805	+	2043	215
SCO0285	NC_003888.3	276938	278827	+	1890	578
SCO0286	NC_003888.3	278910	279416	-	507	117
SCO0287	NC_003888.3	279691	280695	+	1005	92
SCO0288	NC_003888.3	280692	281132	-	441	28
SCO0289	NC_003888.3	281129	282157	-	1029	230
SCO0290	NC_003888.3	282491	283801	+	1311	31
SCO0291	NC_003888.3	283798	284700	+	903	9
SCO0292	NC_003888.3	284702	285598	+	897	22
SCO0293	NC_003888.3	285714	288104	+	2391	67
SCO0294	NC_003888.3	288187	288840	-	654	34
SCO0295	NC_003888.3	288987	290456	-	1470	59
SCO0296	NC_003888.3	290584	291165	+	582	92
SCO0297	NC_003888.3	291315	292592	+	1278	2284
SCO0298	NC_003888.3	292656	293519	-	864	716
SCO0299	NC_003888.3	293613	294497	+	885	61
SCO0300	NC_003888.3	294494	296305	-	1812	200
SCO0301	NC_003888.3	296471	297499	+	1029	31
SCO0302	NC_003888.3	297515	298108	-	594	112
SCO0303	NC_003888.3	298105	298311	-	207	1
SCO0304	NC_003888.3	298468	298836	-	369	8
SCO0305	NC_003888.3	299213	302092	+	2880	344
SCO0307	NC_003888.3	303084	303971	+	888	56
SCO0308	NC_003888.3	304026	305429	+	1404	150
SCO0309	NC_003888.3	305537	306625	-	1089	45
SCO0310	NC_003888.3	306816	307466	-	651	69
SCO0311	NC_003888.3	307575	309131	+	1557	22
SCO0312	NC_003888.3	309147	310316	+	1170	8
SCO0313	NC_003888.3	310378	311727	+	1350	11
SCO0314	NC_003888.3	311724	313670	+	1947	29
SCO0315	NC_003888.3	313697	315055	-	1359	76
SCO0316	NC_003888.3	315254	316921	-	1668	86
SCO0317	NC_003888.3	316975	318237	-	1263	117
SCO0318	NC_003888.3	318329	319345	-	1017	30
SCO0319	NC_003888.3	319499	320008	-	510	15
SCO0320	NC_003888.3	320110	320583	+	474	30
SCO0321	NC_003888.3	320699	322255	+	1557	172
SCO0322	NC_003888.3	322244	323938	-	1695	135
SCO0323	NC_003888.3	324467	325069	-	603	11227
SCO0324	NC_003888.3	325238	327616	-	2379	3326
SCO0325	NC_003888.3	327899	328264	+	366	10
SCO0326	NC_003888.3	328333	329301	+	969	186
SCO0329	NC_003888.3	330235	331365	+	1131	182
SCO0330	NC_003888.3	331504	332253	+	750	66
SCO0331	NC_003888.3	332311	333210	+	900	64
SCO0332	NC_003888.3	333529	334149	+	621	60
SCO0333	NC_003888.3	334223	335734	-	1512	56
SCO0334	NC_003888.3	335948	336292	+	345	3
SCO0335	NC_003888.3	336333	339467	+	3135	199
SCO0336	NC_003888.3	339521	340630	-	1110	50
SCO0337	NC_003888.3	340752	341318	+	567	109
SCO0338	NC_003888.3	341370	341909	-	540	50
SCO0339	NC_003888.3	341992	342561	+	570	38
SCO0340	NC_003888.3	342578	343165	-	588	49
SCO0341	NC_003888.3	343234	345663	-	2430	40
SCO0342	NC_003888.3	345817	347706	-	1890	50
SCO0343	NC_003888.3	347814	348083	+	270	2
SCO0344	NC_003888.3	348137	349381	+	1245	108
SCO0345	NC_003888.3	349419	350201	-	783	119
SCO0346	NC_003888.3	350474	351352	+	879	68
SCO0347	NC_003888.3	351529	352779	+	1251	118
SCO0348	NC_003888.3	352776	353795	+	1020	59
SCO0349	NC_003888.3	353801	354805	+	1005	26
SCO0350	NC_003888.3	354802	355686	+	885	29
SCO0351	NC_003888.3	355683	357158	+	1476	39
SCO0352	NC_003888.3	357209	358477	+	1269	48
SCO0353	NC_003888.3	358481	359392	+	912	29
SCO0354	NC_003888.3	359389	360231	+	843	34
SCO0355	NC_003888.3	360305	360646	+	342	15
SCO0356	NC_003888.3	360674	361465	+	792	45
SCO0357	NC_003888.3	361759	362478	-	720	210
SCO0358	NC_003888.3	362635	363777	+	1143	112
SCO0359	NC_003888.3	363774	364496	+	723	76
SCO0360	NC_003888.3	364559	365551	-	993	247
SCO0361	NC_003888.3	365623	366795	-	1173	75
SCO0362	NC_003888.3	366935	368146	+	1212	23
SCO0363	NC_003888.3	368143	369252	+	1110	9
SCO0364	NC_003888.3	369249	370055	+	807	14
SCO0365	NC_003888.3	370066	370812	+	747	12
SCO0366	NC_003888.3	370809	371876	+	1068	22
SCO0367	NC_003888.3	371921	372478	-	558	51
SCO0368	NC_003888.3	373045	374001	+	957	240
SCO0369	NC_003888.3	373998	377255	-	3258	70
SCO0370	NC_003888.3	377286	380690	-	3405	38
SCO0371	NC_003888.3	380751	383360	-	2610	45
SCO0372	NC_003888.3	383578	386592	-	3015	32
SCO0373	NC_003888.3	386761	387360	-	600	32
SCO0374	NC_003888.3	387750	389519	+	1770	2309
SCO0375	NC_003888.3	389531	391123	-	1593	397
SCO0376	NC_003888.3	391232	391834	+	603	248
SCO0377	NC_003888.3	391950	392483	-	534	533
SCO0378	NC_003888.3	392484	393218	-	735	1347
SCO0379	NC_003888.3	393498	394961	+	1464	12139
SCO0380	NC_003888.3	395065	395460	+	396	413
SCO0381	NC_003888.3	395939	397414	+	1476	491
SCO0382	NC_003888.3	397485	398810	+	1326	595
SCO0383	NC_003888.3	398881	400104	+	1224	647
SCO0384	NC_003888.3	400179	401468	+	1290	413
SCO0385	NC_003888.3	401465	403030	+	1566	399
SCO0386	NC_003888.3	403034	404968	+	1935	332
SCO0387	NC_003888.3	405070	407250	+	2181	416
SCO0388	NC_003888.3	407253	409214	+	1962	354
SCO0389	NC_003888.3	409237	410772	+	1536	168
SCO0390	NC_003888.3	410774	412006	+	1233	107
SCO0391	NC_003888.3	412009	413250	+	1242	153
SCO0392	NC_003888.3	413247	414497	+	1251	270
SCO0393	NC_003888.3	414494	415303	+	810	204
SCO0394	NC_003888.3	415300	415947	+	648	145
SCO0395	NC_003888.3	415951	416976	+	1026	321
SCO0396	NC_003888.3	416973	418247	+	1275	361
SCO0397	NC_003888.3	418253	419542	+	1290	168
SCO0398	NC_003888.3	419539	420486	+	948	159
SCO0399	NC_003888.3	420492	421715	+	1224	249
SCO0400	NC_003888.3	421712	422263	+	552	96
SCO0401	NC_003888.3	422271	423596	+	1326	310
SCO0402	NC_003888.3	423654	424406	-	753	654
SCO0403	NC_003888.3	424609	425226	-	618	245
SCO0404	NC_003888.3	425243	425983	+	741	120
SCO0405	NC_003888.3	426015	426833	-	819	253
SCO0406	NC_003888.3	426893	427606	+	714	43
SCO0407	NC_003888.3	427610	428614	+	1005	68
SCO0408	NC_003888.3	428615	429403	+	789	622
SCO0409	NC_003888.3	429492	429956	-	465	458
SCO0410	NC_003888.3	430071	431321	-	1251	596
SCO0411	NC_003888.3	431327	431551	+	225	333
SCO0412	NC_003888.3	431551	431934	+	384	361
SCO0413	NC_003888.3	431962	432564	-	603	324
SCO0414	NC_003888.3	432617	433513	-	897	237
SCO0415	NC_003888.3	433615	433977	+	363	29
SCO0416	NC_003888.3	433984	434589	-	606	60
SCO0417	NC_003888.3	434651	435397	-	747	55
SCO0418	NC_003888.3	435456	436103	+	648	26
SCO0419	NC_003888.3	436235	437224	+	990	137
SCO0420	NC_003888.3	437253	438287	-	1035	246
SCO0421	NC_003888.3	438329	438988	-	660	82
SCO0422	NC_003888.3	438997	440190	-	1194	138
SCO0423	NC_003888.3	440282	442579	-	2298	93
SCO0424	NC_003888.3	442700	443191	+	492	32
SCO0425	NC_003888.3	443293	444243	-	951	218
SCO0426	NC_003888.3	444441	444671	+	231	14
SCO0427	NC_003888.3	444752	445588	+	837	273
SCO0428	NC_003888.3	445611	446144	+	534	55
SCO0429	NC_003888.3	446214	447161	-	948	133
SCO0430	NC_003888.3	447185	447868	+	684	110
SCO0431	NC_003888.3	447890	449218	-	1329	115
SCO0432	NC_003888.3	449515	453252	+	3738	98
SCO0433	NC_003888.3	453370	454374	+	1005	96
SCO0434	NC_003888.3	454546	456195	+	1650	103
SCO0435	NC_003888.3	456192	457397	+	1206	64
SCO0436	NC_003888.3	457484	457654	+	171	232
SCO0437	NC_003888.3	457670	458695	-	1026	509
SCO0438	NC_003888.3	458695	459345	-	651	27
SCO0439	NC_003888.3	459393	460367	-	975	55
SCO0440	NC_003888.3	460364	461083	-	720	28
SCO0441	NC_003888.3	461350	462102	+	753	118
SCO0442	NC_003888.3	462099	462857	+	759	118
SCO0443	NC_003888.3	462854	463711	+	858	85
SCO0444	NC_003888.3	463698	464099	-	402	106
SCO0445	NC_003888.3	464207	465502	-	1296	356
SCO0446	NC_003888.3	465496	465861	-	366	10
SCO0447	NC_003888.3	465990	466436	+	447	47
SCO0449	NC_003888.3	468153	469232	+	1080	115
SCO0450	NC_003888.3	469315	470304	-	990	699
SCO0451	NC_003888.3	470355	471209	-	855	323
SCO0452	NC_003888.3	471415	472314	+	900	172
SCO0453	NC_003888.3	472458	473747	+	1290	31
SCO0454	NC_003888.3	473848	474789	+	942	28
SCO0455	NC_003888.3	474804	475631	+	828	24
SCO0456	NC_003888.3	475628	476671	+	1044	14
SCO0457	NC_003888.3	476738	478672	+	1935	31
SCO0458	NC_003888.3	478669	480957	+	2289	47
SCO0459	NC_003888.3	481012	481791	+	780	595
SCO0460	NC_003888.3	481810	482319	-	510	159
SCO0461	NC_003888.3	482456	483325	+	870	152
SCO0462	NC_003888.3	483338	484267	-	930	421
SCO0463	NC_003888.3	484318	484932	+	615	450
SCO0464	NC_003888.3	484973	486670	-	1698	755
SCO0465	NC_003888.3	486684	487514	-	831	955
SCO0466	NC_003888.3	487618	488601	+	984	265
SCO0467	NC_003888.3	488614	489357	+	744	419
SCO0468	NC_003888.3	489373	490350	-	978	346
SCO0469	NC_003888.3	490451	490972	+	522	54
SCO0470	NC_003888.3	490983	491891	+	909	39
SCO0471	NC_003888.3	491901	492881	+	981	119
SCO0472	NC_003888.3	493055	494263	-	1209	862
SCO0473	NC_003888.3	494260	495249	-	990	154
SCO0474	NC_003888.3	495246	496493	-	1248	161
SCO0475	NC_003888.3	496508	497359	-	852	55
SCO0476	NC_003888.3	497375	498133	+	759	210
SCO0477	NC_003888.3	498238	498630	+	393	571
SCO0478	NC_003888.3	498683	499807	-	1125	1200
SCO0479	NC_003888.3	499952	500776	-	825	105
SCO0480	NC_003888.3	500780	501412	+	633	2
SCO0481	NC_003888.3	501699	502217	+	519	104
SCO0482	NC_003888.3	502342	503076	+	735	43
SCO0483	NC_003888.3	503073	503474	-	402	34
SCO0484	NC_003888.3	503539	504705	-	1167	81
SCO0485	NC_003888.3	504854	505465	+	612	101
SCO0486	NC_003888.3	505447	506670	-	1224	38
SCO0487	NC_003888.3	506842	507348	+	507	178
SCO0488	NC_003888.3	507394	510810	+	3417	611
SCO0489	NC_003888.3	510823	511035	-	213	300
SCO0490	NC_003888.3	511124	512215	+	1092	459
SCO0491	NC_003888.3	512302	513924	-	1623	542
SCO0492	NC_003888.3	513989	524920	-	10932	3274
SCO0493	NC_003888.3	524978	526783	-	1806	1716
SCO0494	NC_003888.3	526786	527838	-	1053	2382
SCO0495	NC_003888.3	527889	528752	-	864	605
SCO0496	NC_003888.3	528791	529897	-	1107	226
SCO0497	NC_003888.3	529894	530970	-	1077	446
SCO0498	NC_003888.3	530970	532325	-	1356	767
SCO0499	NC_003888.3	532501	533448	+	948	613
SCO0500	NC_003888.3	533534	533773	-	240	2103
SCO0501	NC_003888.3	533812	535764	-	1953	114
SCO0502	NC_003888.3	535974	536408	+	435	83
SCO0503	NC_003888.3	536532	537512	+	981	22
SCO0504	NC_003888.3	537623	538942	+	1320	524
SCO0505	NC_003888.3	539123	542131	+	3009	378
SCO0506	NC_003888.3	542269	543099	+	831	568
SCO0507	NC_003888.3	543119	543535	-	417	81
SCO0508	NC_003888.3	543545	544087	+	543	35
SCO0509	NC_003888.3	544194	545717	+	1524	16916
SCO0511	NC_003888.3	546358	547116	+	759	608
SCO0512	NC_003888.3	547135	547743	-	609	190
SCO0513	NC_003888.3	547809	548900	+	1092	243
SCO0514	NC_003888.3	548968	549621	+	654	202
SCO0516	NC_003888.3	550455	551633	+	1179	52
SCO0517	NC_003888.3	551918	552115	+	198	6
SCO0518	NC_003888.3	552094	552351	+	258	4
SCO0519	NC_003888.3	552403	553140	-	738	15
SCO0520	NC_003888.3	553277	553861	+	585	56
SCO0521	NC_003888.3	553892	554473	+	582	198
SCO0522	NC_003888.3	554649	555440	+	792	62
SCO0523	NC_003888.3	555468	555905	-	438	65
SCO0524	NC_003888.3	555990	556898	+	909	195
SCO0525	NC_003888.3	557029	557844	+	816	615
SCO0526	NC_003888.3	557882	558715	+	834	327
SCO0527	NC_003888.3	558812	559015	-	204	4815
SCO0528	NC_003888.3	559346	560098	+	753	298
SCO0529	NC_003888.3	560127	561545	-	1419	210
SCO0530	NC_003888.3	561731	562576	-	846	59
SCO0531	NC_003888.3	562803	564071	+	1269	15
SCO0532	NC_003888.3	564141	565049	+	909	21
SCO0533	NC_003888.3	565046	565903	+	858	16
SCO0534	NC_003888.3	566007	567626	+	1620	24
SCO0535	NC_003888.3	567623	569044	+	1422	40
SCO0536	NC_003888.3	569061	569282	-	222	101
SCO0537	NC_003888.3	569655	570482	+	828	92
SCO0538	NC_003888.3	570520	571848	+	1329	71
SCO0539	NC_003888.3	571863	572813	+	951	51
SCO0540	NC_003888.3	572810	573709	+	900	22
SCO0541	NC_003888.3	573756	575081	+	1326	127
SCO0542	NC_003888.3	575351	577984	+	2634	1526
SCO0543	NC_003888.3	578092	579228	+	1137	86
SCO0544	NC_003888.3	579257	580789	+	1533	133
SCO0545	NC_003888.3	580913	583459	+	2547	97
SCO0546	NC_003888.3	583523	586897	-	3375	1831
