# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "16" "-p" "-P" "-B" "-a" "/home/duc/dbMisc/M145.gff" "-t" "gene" "-g" "locus_tag" "--minOverlap" "20" "--fracOverlap" "0.25" "-o" "gene_counts_filtered/C45_1.txt" "align/C45_1.bam" 
Geneid	Chr	Start	End	Strand	Length	align/C45_1.bam
SCO0083	NC_003888.3	69799	70647	+	849	18
SCO0084	NC_003888.3	70777	71235	+	459	23
SCO0085	NC_003888.3	71648	72139	-	492	12
SCO0086	NC_003888.3	72159	73097	-	939	57
SCO0087	NC_003888.3	73784	74833	-	1050	21
SCO0088	NC_003888.3	74917	75876	-	960	13
SCO0089	NC_003888.3	75856	76893	+	1038	168
SCO0090	NC_003888.3	76895	77314	-	420	9
SCO0091	NC_003888.3	77315	78271	+	957	291
SCO0095	NC_003888.3	78983	79702	-	720	10
SCO0096	NC_003888.3	79839	80690	-	852	52
SCO0097	NC_003888.3	80845	81165	-	321	67
SCO0098	NC_003888.3	81602	82441	-	840	30
SCO0101	NC_003888.3	83516	83992	-	477	39
SCO0102	NC_003888.3	84893	85339	+	447	93
SCO0103	NC_003888.3	85336	86643	+	1308	140
SCO0104	NC_003888.3	86640	87311	+	672	42
SCO0105	NC_003888.3	87907	88632	-	726	168
SCO0106	NC_003888.3	89073	89465	+	393	70
SCO0107	NC_003888.3	89486	90043	-	558	178
SCO0108	NC_003888.3	90242	90391	+	150	2
SCO0109	NC_003888.3	90395	90865	-	471	16
SCO0110	NC_003888.3	90951	91790	-	840	163
SCO0111	NC_003888.3	91977	92729	+	753	9
SCO0112	NC_003888.3	92773	92928	-	156	0
SCO0116	NC_003888.3	94306	94872	-	567	89
SCO0117	NC_003888.3	94989	95681	+	693	19
SCO0118	NC_003888.3	95989	97518	+	1530	444
SCO0119	NC_003888.3	97760	98281	-	522	565
SCO0120	NC_003888.3	98463	99338	-	876	192
SCO0121	NC_003888.3	99335	99949	-	615	287
SCO0122	NC_003888.3	100190	101566	+	1377	192
SCO0123	NC_003888.3	101656	103002	-	1347	161
SCO0124	NC_003888.3	103628	104989	+	1362	580
SCO0125	NC_003888.3	105057	106640	+	1584	288
SCO0126	NC_003888.3	106637	112885	+	6249	1805
SCO0127	NC_003888.3	112932	119654	+	6723	1190
SCO0128	NC_003888.3	119651	119833	+	183	19
SCO0129	NC_003888.3	119841	120215	+	375	52
SCO0130	NC_003888.3	120457	121371	+	915	31
SCO0131	NC_003888.3	121617	122456	-	840	8
SCO0132	NC_003888.3	122743	125502	+	2760	1016
SCO0133	NC_003888.3	125625	126005	-	381	42
SCO0134	NC_003888.3	126989	127294	-	306	21
SCO0135	NC_003888.3	127571	128290	+	720	181
SCO0136	NC_003888.3	128634	130184	-	1551	148
SCO0137	NC_003888.3	130201	131001	-	801	174
SCO0138	NC_003888.3	131523	132296	+	774	45
SCO0139	NC_003888.3	132327	132647	+	321	40
SCO0140	NC_003888.3	132693	133520	+	828	383
SCO0141	NC_003888.3	133570	134121	-	552	744
SCO0142	NC_003888.3	134295	136100	-	1806	167
SCO0143	NC_003888.3	136647	137183	+	537	31
SCO0144	NC_003888.3	137197	137556	+	360	44
SCO0145	NC_003888.3	137561	138589	+	1029	76
SCO0147	NC_003888.3	138976	139467	+	492	33
SCO0148	NC_003888.3	139467	139712	+	246	21
SCO0149	NC_003888.3	139703	140299	-	597	50
SCO0150	NC_003888.3	140368	140862	+	495	28
SCO0151	NC_003888.3	141370	141708	+	339	7
SCO0152	NC_003888.3	141705	143315	+	1611	26
SCO0153	NC_003888.3	143776	144363	-	588	58
SCO0154	NC_003888.3	144704	145366	-	663	15
SCO0155	NC_003888.3	145499	146122	+	624	73
SCO0156	NC_003888.3	146034	146351	-	318	38
SCO0157	NC_003888.3	146603	146980	+	378	1
SCO0158	NC_003888.3	146977	148206	+	1230	31
SCO0159	NC_003888.3	148216	149184	+	969	83
SCO0160	NC_003888.3	149508	150209	-	702	751
SCO0161	NC_003888.3	150181	150525	-	345	0
SCO0162	NC_003888.3	150579	151571	+	993	49
SCO0163	NC_003888.3	151749	153275	+	1527	899
SCO0164	NC_003888.3	153398	155728	+	2331	308
SCO0165	NC_003888.3	155707	156120	-	414	141
SCO0166	NC_003888.3	156338	157141	+	804	835
SCO0167	NC_003888.3	157189	158073	-	885	128
SCO0168	NC_003888.3	158732	159304	+	573	73
SCO0169	NC_003888.3	159372	160025	+	654	92
SCO0170	NC_003888.3	160356	161027	-	672	165
SCO0171	NC_003888.3	161237	162553	+	1317	20
SCO0172	NC_003888.3	162661	163119	+	459	598
SCO0173	NC_003888.3	163235	164017	-	783	167
SCO0174	NC_003888.3	164023	164994	-	972	144
SCO0175	NC_003888.3	165059	165406	-	348	4
SCO0176	NC_003888.3	165460	165855	+	396	2
SCO0177	NC_003888.3	166033	166614	+	582	10
SCO0178	NC_003888.3	166891	167337	+	447	23
SCO0179	NC_003888.3	167444	168514	-	1071	211
SCO0180	NC_003888.3	168705	169556	-	852	23
SCO0181	NC_003888.3	169584	170570	-	987	28
SCO0182	NC_003888.3	170656	170880	-	225	1
SCO0183	NC_003888.3	170911	172158	+	1248	2
SCO0184	NC_003888.3	172170	173984	+	1815	9
SCO0185	NC_003888.3	173768	174946	+	1179	271
SCO0186	NC_003888.3	174943	176514	+	1572	466
SCO0187	NC_003888.3	176501	177496	+	996	318
SCO0188	NC_003888.3	177493	178503	+	1011	278
SCO0189	NC_003888.3	178519	180087	-	1569	411
SCO0190	NC_003888.3	180084	180824	-	741	195
SCO0191	NC_003888.3	180821	182038	-	1218	388
SCO0192	NC_003888.3	182309	183559	-	1251	1089
SCO0193	NC_003888.3	183793	184797	-	1005	2513
SCO0194	NC_003888.3	184958	185566	+	609	6337
SCO0195	NC_003888.3	185675	186361	+	687	3383
SCO0196	NC_003888.3	186483	186887	+	405	370
SCO0197	NC_003888.3	187019	187459	-	441	63
SCO0198	NC_003888.3	187992	188858	-	867	47
SCO0199	NC_003888.3	188864	189886	-	1023	23
SCO0200	NC_003888.3	189925	190830	-	906	44
SCO0201	NC_003888.3	190983	191654	-	672	19
SCO0202	NC_003888.3	191919	192848	+	930	42
SCO0203	NC_003888.3	192880	194637	-	1758	783
SCO0204	NC_003888.3	194760	195461	-	702	152
SCO0207	NC_003888.3	196386	196991	-	606	2
SCO0208	NC_003888.3	197221	199917	+	2697	107
SCO0209	NC_003888.3	200024	200428	+	405	61
SCO0210	NC_003888.3	200728	201369	+	642	18
SCO0211	NC_003888.3	201374	202090	+	717	24
SCO0212	NC_003888.3	202370	202843	-	474	38
SCO0213	NC_003888.3	202863	204101	-	1239	36
SCO0214	NC_003888.3	204387	204800	+	414	17
SCO0215	NC_003888.3	204881	205888	-	1008	22
SCO0216	NC_003888.3	206480	210181	+	3702	38
SCO0217	NC_003888.3	210183	211751	+	1569	17
SCO0218	NC_003888.3	211748	212551	+	804	3
SCO0219	NC_003888.3	212551	213321	+	771	12
SCO0220	NC_003888.3	213427	213870	+	444	14
SCO0222	NC_003888.3	214913	215446	+	534	248
SCO0223	NC_003888.3	215443	215559	+	117	58
SCO0224	NC_003888.3	215807	216844	-	1038	132
SCO0225	NC_003888.3	216834	217268	-	435	12
SCO0226	NC_003888.3	217315	218019	-	705	47
SCO0227	NC_003888.3	218418	218780	-	363	0
SCO0228	NC_003888.3	218973	219059	+	87	0
SCO0229	NC_003888.3	219302	220150	+	849	259
SCO0230	NC_003888.3	220150	220764	+	615	140
SCO0231	NC_003888.3	221092	221247	-	156	34
SCO0232	NC_003888.3	221414	221599	-	186	0
SCO0233	NC_003888.3	221699	222538	-	840	41
SCO0234	NC_003888.3	222827	223288	+	462	8
SCO0235	NC_003888.3	223294	224232	+	939	127
SCO0236	NC_003888.3	224404	225276	-	873	103
SCO0237	NC_003888.3	225476	226237	+	762	10
SCO0238	NC_003888.3	226481	227008	+	528	27
SCO0239	NC_003888.3	227081	228154	-	1074	56
SCO0240	NC_003888.3	228714	229649	-	936	31
SCO0241	NC_003888.3	229995	230669	+	675	50
SCO0242	NC_003888.3	231022	231465	+	444	349
SCO0243	NC_003888.3	231475	231654	+	180	136
SCO0244	NC_003888.3	232508	233518	+	1011	106
SCO0245	NC_003888.3	233854	234873	-	1020	133
SCO0246	NC_003888.3	234870	236207	-	1338	257
SCO0247	NC_003888.3	236782	237807	+	1026	733
SCO0248	NC_003888.3	237664	238251	-	588	246
SCO0249	NC_003888.3	238280	239794	-	1515	133
SCO0250	NC_003888.3	239858	240523	+	666	115
SCO0251	NC_003888.3	240559	240843	-	285	51
SCO0252	NC_003888.3	240876	242123	-	1248	53
SCO0253	NC_003888.3	242194	242766	+	573	66
SCO0254	NC_003888.3	243022	243762	-	741	117
SCO0255	NC_003888.3	243936	245672	-	1737	224
SCO0256	NC_003888.3	245986	246783	+	798	615
SCO0257	NC_003888.3	246868	247869	+	1002	450
SCO0258	NC_003888.3	247871	248680	+	810	397
SCO0259	NC_003888.3	248677	249702	+	1026	448
SCO0260	NC_003888.3	249755	250084	+	330	897
SCO0261	NC_003888.3	250164	250691	-	528	86
SCO0262	NC_003888.3	250805	251740	+	936	161
SCO0263	NC_003888.3	251764	252879	-	1116	88
SCO0264	NC_003888.3	252946	253398	+	453	211
SCO0265	NC_003888.3	253499	254290	+	792	1434
SCO0266	NC_003888.3	254332	255309	-	978	401
SCO0267	NC_003888.3	255311	256087	+	777	15
SCO0268	NC_003888.3	256281	256442	+	162	194
SCO0269	NC_003888.3	256526	259687	+	3162	164
SCO0270	NC_003888.3	259684	261084	+	1401	53
SCO0271	NC_003888.3	261366	262319	+	954	29
SCO0272	NC_003888.3	262330	263220	+	891	11
SCO0273	NC_003888.3	263285	264634	+	1350	23
SCO0274	NC_003888.3	264764	266263	+	1500	26
SCO0275	NC_003888.3	266356	267513	+	1158	120
SCO0276	NC_003888.3	267585	268838	+	1254	124
SCO0277	NC_003888.3	269020	269688	-	669	118
SCO0278	NC_003888.3	269783	270397	+	615	18
SCO0279	NC_003888.3	270477	271748	+	1272	100
SCO0280	NC_003888.3	271768	272469	-	702	33
SCO0281	NC_003888.3	272466	272834	-	369	7
SCO0282	NC_003888.3	272892	273656	+	765	77
SCO0283	NC_003888.3	274101	274595	-	495	31
SCO0284	NC_003888.3	274763	276805	+	2043	356
SCO0285	NC_003888.3	276938	278827	+	1890	804
SCO0286	NC_003888.3	278910	279416	-	507	198
SCO0287	NC_003888.3	279691	280695	+	1005	120
SCO0288	NC_003888.3	280692	281132	-	441	49
SCO0289	NC_003888.3	281129	282157	-	1029	190
SCO0290	NC_003888.3	282491	283801	+	1311	9
SCO0291	NC_003888.3	283798	284700	+	903	32
SCO0292	NC_003888.3	284702	285598	+	897	14
SCO0293	NC_003888.3	285714	288104	+	2391	40
SCO0294	NC_003888.3	288187	288840	-	654	47
SCO0295	NC_003888.3	288987	290456	-	1470	48
SCO0296	NC_003888.3	290584	291165	+	582	93
SCO0297	NC_003888.3	291315	292592	+	1278	840
SCO0298	NC_003888.3	292656	293519	-	864	512
SCO0299	NC_003888.3	293613	294497	+	885	68
SCO0300	NC_003888.3	294494	296305	-	1812	166
SCO0301	NC_003888.3	296471	297499	+	1029	45
SCO0302	NC_003888.3	297515	298108	-	594	140
SCO0303	NC_003888.3	298105	298311	-	207	0
SCO0304	NC_003888.3	298468	298836	-	369	11
SCO0305	NC_003888.3	299213	302092	+	2880	505
SCO0307	NC_003888.3	303084	303971	+	888	59
SCO0308	NC_003888.3	304026	305429	+	1404	181
SCO0309	NC_003888.3	305537	306625	-	1089	61
SCO0310	NC_003888.3	306816	307466	-	651	76
SCO0311	NC_003888.3	307575	309131	+	1557	8
SCO0312	NC_003888.3	309147	310316	+	1170	12
SCO0313	NC_003888.3	310378	311727	+	1350	9
SCO0314	NC_003888.3	311724	313670	+	1947	19
SCO0315	NC_003888.3	313697	315055	-	1359	69
SCO0316	NC_003888.3	315254	316921	-	1668	86
SCO0317	NC_003888.3	316975	318237	-	1263	115
SCO0318	NC_003888.3	318329	319345	-	1017	17
SCO0319	NC_003888.3	319499	320008	-	510	47
SCO0320	NC_003888.3	320110	320583	+	474	49
SCO0321	NC_003888.3	320699	322255	+	1557	98
SCO0322	NC_003888.3	322244	323938	-	1695	70
SCO0323	NC_003888.3	324467	325069	-	603	12986
SCO0324	NC_003888.3	325238	327616	-	2379	3397
SCO0325	NC_003888.3	327899	328264	+	366	6
SCO0326	NC_003888.3	328333	329301	+	969	214
SCO0329	NC_003888.3	330235	331365	+	1131	120
SCO0330	NC_003888.3	331504	332253	+	750	59
SCO0331	NC_003888.3	332311	333210	+	900	53
SCO0332	NC_003888.3	333529	334149	+	621	84
SCO0333	NC_003888.3	334223	335734	-	1512	66
SCO0334	NC_003888.3	335948	336292	+	345	3
SCO0335	NC_003888.3	336333	339467	+	3135	186
SCO0336	NC_003888.3	339521	340630	-	1110	35
SCO0337	NC_003888.3	340752	341318	+	567	125
SCO0338	NC_003888.3	341370	341909	-	540	34
SCO0339	NC_003888.3	341992	342561	+	570	9
SCO0340	NC_003888.3	342578	343165	-	588	42
SCO0341	NC_003888.3	343234	345663	-	2430	11
SCO0342	NC_003888.3	345817	347706	-	1890	28
SCO0343	NC_003888.3	347814	348083	+	270	5
SCO0344	NC_003888.3	348137	349381	+	1245	73
SCO0345	NC_003888.3	349419	350201	-	783	116
SCO0346	NC_003888.3	350474	351352	+	879	42
SCO0347	NC_003888.3	351529	352779	+	1251	74
SCO0348	NC_003888.3	352776	353795	+	1020	55
SCO0349	NC_003888.3	353801	354805	+	1005	23
SCO0350	NC_003888.3	354802	355686	+	885	31
SCO0351	NC_003888.3	355683	357158	+	1476	30
SCO0352	NC_003888.3	357209	358477	+	1269	43
SCO0353	NC_003888.3	358481	359392	+	912	25
SCO0354	NC_003888.3	359389	360231	+	843	23
SCO0355	NC_003888.3	360305	360646	+	342	8
SCO0356	NC_003888.3	360674	361465	+	792	31
SCO0357	NC_003888.3	361759	362478	-	720	258
SCO0358	NC_003888.3	362635	363777	+	1143	106
SCO0359	NC_003888.3	363774	364496	+	723	104
SCO0360	NC_003888.3	364559	365551	-	993	333
SCO0361	NC_003888.3	365623	366795	-	1173	97
SCO0362	NC_003888.3	366935	368146	+	1212	15
SCO0363	NC_003888.3	368143	369252	+	1110	14
SCO0364	NC_003888.3	369249	370055	+	807	13
SCO0365	NC_003888.3	370066	370812	+	747	11
SCO0366	NC_003888.3	370809	371876	+	1068	27
SCO0367	NC_003888.3	371921	372478	-	558	64
SCO0368	NC_003888.3	373045	374001	+	957	293
SCO0369	NC_003888.3	373998	377255	-	3258	37
SCO0370	NC_003888.3	377286	380690	-	3405	14
SCO0371	NC_003888.3	380751	383360	-	2610	13
SCO0372	NC_003888.3	383578	386592	-	3015	29
SCO0373	NC_003888.3	386761	387360	-	600	35
SCO0374	NC_003888.3	387750	389519	+	1770	2404
SCO0375	NC_003888.3	389531	391123	-	1593	477
SCO0376	NC_003888.3	391232	391834	+	603	280
SCO0377	NC_003888.3	391950	392483	-	534	559
SCO0378	NC_003888.3	392484	393218	-	735	1150
SCO0379	NC_003888.3	393498	394961	+	1464	18682
SCO0380	NC_003888.3	395065	395460	+	396	711
SCO0381	NC_003888.3	395939	397414	+	1476	993
SCO0382	NC_003888.3	397485	398810	+	1326	1252
SCO0383	NC_003888.3	398881	400104	+	1224	1204
SCO0384	NC_003888.3	400179	401468	+	1290	770
SCO0385	NC_003888.3	401465	403030	+	1566	703
SCO0386	NC_003888.3	403034	404968	+	1935	582
SCO0387	NC_003888.3	405070	407250	+	2181	723
SCO0388	NC_003888.3	407253	409214	+	1962	574
SCO0389	NC_003888.3	409237	410772	+	1536	313
SCO0390	NC_003888.3	410774	412006	+	1233	181
SCO0391	NC_003888.3	412009	413250	+	1242	243
SCO0392	NC_003888.3	413247	414497	+	1251	486
SCO0393	NC_003888.3	414494	415303	+	810	330
SCO0394	NC_003888.3	415300	415947	+	648	309
SCO0395	NC_003888.3	415951	416976	+	1026	635
SCO0396	NC_003888.3	416973	418247	+	1275	739
SCO0397	NC_003888.3	418253	419542	+	1290	308
SCO0398	NC_003888.3	419539	420486	+	948	374
SCO0399	NC_003888.3	420492	421715	+	1224	387
SCO0400	NC_003888.3	421712	422263	+	552	173
SCO0401	NC_003888.3	422271	423596	+	1326	593
SCO0402	NC_003888.3	423654	424406	-	753	621
SCO0403	NC_003888.3	424609	425226	-	618	243
SCO0404	NC_003888.3	425243	425983	+	741	148
SCO0405	NC_003888.3	426015	426833	-	819	327
SCO0406	NC_003888.3	426893	427606	+	714	30
SCO0407	NC_003888.3	427610	428614	+	1005	87
SCO0408	NC_003888.3	428615	429403	+	789	394
SCO0409	NC_003888.3	429492	429956	-	465	762
SCO0410	NC_003888.3	430071	431321	-	1251	815
SCO0411	NC_003888.3	431327	431551	+	225	251
SCO0412	NC_003888.3	431551	431934	+	384	349
SCO0413	NC_003888.3	431962	432564	-	603	421
SCO0414	NC_003888.3	432617	433513	-	897	254
SCO0415	NC_003888.3	433615	433977	+	363	55
SCO0416	NC_003888.3	433984	434589	-	606	100
SCO0417	NC_003888.3	434651	435397	-	747	65
SCO0418	NC_003888.3	435456	436103	+	648	5
SCO0419	NC_003888.3	436235	437224	+	990	170
SCO0420	NC_003888.3	437253	438287	-	1035	368
SCO0421	NC_003888.3	438329	438988	-	660	132
SCO0422	NC_003888.3	438997	440190	-	1194	179
SCO0423	NC_003888.3	440282	442579	-	2298	58
SCO0424	NC_003888.3	442700	443191	+	492	30
SCO0425	NC_003888.3	443293	444243	-	951	128
SCO0426	NC_003888.3	444441	444671	+	231	6
SCO0427	NC_003888.3	444752	445588	+	837	104
SCO0428	NC_003888.3	445611	446144	+	534	46
SCO0429	NC_003888.3	446214	447161	-	948	88
SCO0430	NC_003888.3	447185	447868	+	684	121
SCO0431	NC_003888.3	447890	449218	-	1329	124
SCO0432	NC_003888.3	449515	453252	+	3738	113
SCO0433	NC_003888.3	453370	454374	+	1005	104
SCO0434	NC_003888.3	454546	456195	+	1650	123
SCO0435	NC_003888.3	456192	457397	+	1206	50
SCO0436	NC_003888.3	457484	457654	+	171	852
SCO0437	NC_003888.3	457670	458695	-	1026	1456
SCO0438	NC_003888.3	458695	459345	-	651	64
SCO0439	NC_003888.3	459393	460367	-	975	49
SCO0440	NC_003888.3	460364	461083	-	720	24
SCO0441	NC_003888.3	461350	462102	+	753	99
SCO0442	NC_003888.3	462099	462857	+	759	96
SCO0443	NC_003888.3	462854	463711	+	858	117
SCO0444	NC_003888.3	463698	464099	-	402	111
SCO0445	NC_003888.3	464207	465502	-	1296	440
SCO0446	NC_003888.3	465496	465861	-	366	18
SCO0447	NC_003888.3	465990	466436	+	447	55
SCO0449	NC_003888.3	468153	469232	+	1080	110
SCO0450	NC_003888.3	469315	470304	-	990	682
SCO0451	NC_003888.3	470355	471209	-	855	258
SCO0452	NC_003888.3	471415	472314	+	900	187
SCO0453	NC_003888.3	472458	473747	+	1290	34
SCO0454	NC_003888.3	473848	474789	+	942	16
SCO0455	NC_003888.3	474804	475631	+	828	22
SCO0456	NC_003888.3	475628	476671	+	1044	20
SCO0457	NC_003888.3	476738	478672	+	1935	47
SCO0458	NC_003888.3	478669	480957	+	2289	23
SCO0459	NC_003888.3	481012	481791	+	780	601
SCO0460	NC_003888.3	481810	482319	-	510	181
SCO0461	NC_003888.3	482456	483325	+	870	158
SCO0462	NC_003888.3	483338	484267	-	930	293
SCO0463	NC_003888.3	484318	484932	+	615	247
SCO0464	NC_003888.3	484973	486670	-	1698	843
SCO0465	NC_003888.3	486684	487514	-	831	1028
SCO0466	NC_003888.3	487618	488601	+	984	199
SCO0467	NC_003888.3	488614	489357	+	744	593
SCO0468	NC_003888.3	489373	490350	-	978	395
SCO0469	NC_003888.3	490451	490972	+	522	64
SCO0470	NC_003888.3	490983	491891	+	909	29
SCO0471	NC_003888.3	491901	492881	+	981	149
SCO0472	NC_003888.3	493055	494263	-	1209	1266
SCO0473	NC_003888.3	494260	495249	-	990	360
SCO0474	NC_003888.3	495246	496493	-	1248	553
SCO0475	NC_003888.3	496508	497359	-	852	152
SCO0476	NC_003888.3	497375	498133	+	759	425
SCO0477	NC_003888.3	498238	498630	+	393	718
SCO0478	NC_003888.3	498683	499807	-	1125	1915
SCO0479	NC_003888.3	499952	500776	-	825	84
SCO0480	NC_003888.3	500780	501412	+	633	2
SCO0481	NC_003888.3	501699	502217	+	519	34
SCO0482	NC_003888.3	502342	503076	+	735	23
SCO0483	NC_003888.3	503073	503474	-	402	32
SCO0484	NC_003888.3	503539	504705	-	1167	43
SCO0485	NC_003888.3	504854	505465	+	612	87
SCO0486	NC_003888.3	505447	506670	-	1224	23
SCO0487	NC_003888.3	506842	507348	+	507	150
SCO0488	NC_003888.3	507394	510810	+	3417	942
SCO0489	NC_003888.3	510823	511035	-	213	571
SCO0490	NC_003888.3	511124	512215	+	1092	678
SCO0491	NC_003888.3	512302	513924	-	1623	923
SCO0492	NC_003888.3	513989	524920	-	10932	6635
SCO0493	NC_003888.3	524978	526783	-	1806	2507
SCO0494	NC_003888.3	526786	527838	-	1053	3731
SCO0495	NC_003888.3	527889	528752	-	864	797
SCO0496	NC_003888.3	528791	529897	-	1107	376
SCO0497	NC_003888.3	529894	530970	-	1077	835
SCO0498	NC_003888.3	530970	532325	-	1356	2087
SCO0499	NC_003888.3	532501	533448	+	948	1270
SCO0500	NC_003888.3	533534	533773	-	240	1908
SCO0501	NC_003888.3	533812	535764	-	1953	142
SCO0502	NC_003888.3	535974	536408	+	435	61
SCO0503	NC_003888.3	536532	537512	+	981	25
SCO0504	NC_003888.3	537623	538942	+	1320	437
SCO0505	NC_003888.3	539123	542131	+	3009	350
SCO0506	NC_003888.3	542269	543099	+	831	574
SCO0507	NC_003888.3	543119	543535	-	417	89
SCO0508	NC_003888.3	543545	544087	+	543	23
SCO0509	NC_003888.3	544194	545717	+	1524	10850
SCO0511	NC_003888.3	546358	547116	+	759	362
SCO0512	NC_003888.3	547135	547743	-	609	107
SCO0513	NC_003888.3	547809	548900	+	1092	222
SCO0514	NC_003888.3	548968	549621	+	654	196
SCO0516	NC_003888.3	550455	551633	+	1179	53
SCO0517	NC_003888.3	551918	552115	+	198	1
SCO0518	NC_003888.3	552094	552351	+	258	2
SCO0519	NC_003888.3	552403	553140	-	738	23
SCO0520	NC_003888.3	553277	553861	+	585	73
SCO0521	NC_003888.3	553892	554473	+	582	226
SCO0522	NC_003888.3	554649	555440	+	792	76
SCO0523	NC_003888.3	555468	555905	-	438	65
SCO0524	NC_003888.3	555990	556898	+	909	155
SCO0525	NC_003888.3	557029	557844	+	816	729
SCO0526	NC_003888.3	557882	558715	+	834	367
SCO0527	NC_003888.3	558812	559015	-	204	8480
SCO0528	NC_003888.3	559346	560098	+	753	423
SCO0529	NC_003888.3	560127	561545	-	1419	233
SCO0530	NC_003888.3	561731	562576	-	846	63
SCO0531	NC_003888.3	562803	564071	+	1269	7
SCO0532	NC_003888.3	564141	565049	+	909	13
SCO0533	NC_003888.3	565046	565903	+	858	16
SCO0534	NC_003888.3	566007	567626	+	1620	23
SCO0535	NC_003888.3	567623	569044	+	1422	26
SCO0536	NC_003888.3	569061	569282	-	222	62
SCO0537	NC_003888.3	569655	570482	+	828	98
SCO0538	NC_003888.3	570520	571848	+	1329	58
SCO0539	NC_003888.3	571863	572813	+	951	38
SCO0540	NC_003888.3	572810	573709	+	900	26
SCO0541	NC_003888.3	573756	575081	+	1326	99
SCO0542	NC_003888.3	575351	577984	+	2634	1244
SCO0543	NC_003888.3	578092	579228	+	1137	79
SCO0544	NC_003888.3	579257	580789	+	1533	197
SCO0545	NC_003888.3	580913	583459	+	2547	121
SCO0546	NC_003888.3	583523	586897	-	3375	2182
