# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "16" "-p" "-P" "-B" "-a" "/home/duc/dbMisc/M145.gff" "-t" "gene" "-g" "locus_tag" "--minOverlap" "20" "--fracOverlap" "0.25" "-o" "gene_counts_filtered/D45_3.txt" "align/D45_3.bam" 
Geneid	Chr	Start	End	Strand	Length	align/D45_3.bam
SCO0250	NC_003888.3	239858	240523	+	666	166
SCO0251	NC_003888.3	240559	240843	-	285	68
SCO0252	NC_003888.3	240876	242123	-	1248	94
SCO0253	NC_003888.3	242194	242766	+	573	50
SCO0254	NC_003888.3	243022	243762	-	741	162
SCO0255	NC_003888.3	243936	245672	-	1737	320
SCO0256	NC_003888.3	245986	246783	+	798	491
SCO0257	NC_003888.3	246868	247869	+	1002	327
SCO0258	NC_003888.3	247871	248680	+	810	340
SCO0259	NC_003888.3	248677	249702	+	1026	427
SCO0260	NC_003888.3	249755	250084	+	330	730
SCO0261	NC_003888.3	250164	250691	-	528	93
SCO0262	NC_003888.3	250805	251740	+	936	218
SCO0263	NC_003888.3	251764	252879	-	1116	95
SCO0264	NC_003888.3	252946	253398	+	453	264
SCO0265	NC_003888.3	253499	254290	+	792	2124
SCO0266	NC_003888.3	254332	255309	-	978	602
SCO0267	NC_003888.3	255311	256087	+	777	37
SCO0268	NC_003888.3	256281	256442	+	162	265
SCO0269	NC_003888.3	256526	259687	+	3162	394
SCO0270	NC_003888.3	259684	261084	+	1401	105
SCO0271	NC_003888.3	261366	262319	+	954	54
SCO0272	NC_003888.3	262330	263220	+	891	19
SCO0273	NC_003888.3	263285	264634	+	1350	28
SCO0274	NC_003888.3	264764	266263	+	1500	53
SCO0275	NC_003888.3	266356	267513	+	1158	206
SCO0276	NC_003888.3	267585	268838	+	1254	211
SCO0277	NC_003888.3	269020	269688	-	669	154
SCO0278	NC_003888.3	269783	270397	+	615	43
SCO0279	NC_003888.3	270477	271748	+	1272	155
SCO0280	NC_003888.3	271768	272469	-	702	38
SCO0281	NC_003888.3	272466	272834	-	369	15
SCO0282	NC_003888.3	272892	273656	+	765	116
SCO0283	NC_003888.3	274101	274595	-	495	47
SCO0284	NC_003888.3	274763	276805	+	2043	331
SCO0285	NC_003888.3	276938	278827	+	1890	799
SCO0286	NC_003888.3	278910	279416	-	507	197
SCO0287	NC_003888.3	279691	280695	+	1005	170
SCO0288	NC_003888.3	280692	281132	-	441	76
SCO0289	NC_003888.3	281129	282157	-	1029	261
SCO0290	NC_003888.3	282491	283801	+	1311	19
SCO0291	NC_003888.3	283798	284700	+	903	37
SCO0292	NC_003888.3	284702	285598	+	897	33
SCO0293	NC_003888.3	285714	288104	+	2391	53
SCO0294	NC_003888.3	288187	288840	-	654	64
SCO0295	NC_003888.3	288987	290456	-	1470	69
SCO0296	NC_003888.3	290584	291165	+	582	109
SCO0297	NC_003888.3	291315	292592	+	1278	3458
SCO0298	NC_003888.3	292656	293519	-	864	975
SCO0299	NC_003888.3	293613	294497	+	885	107
SCO0300	NC_003888.3	294494	296305	-	1812	270
SCO0301	NC_003888.3	296471	297499	+	1029	42
SCO0302	NC_003888.3	297515	298108	-	594	146
SCO0303	NC_003888.3	298105	298311	-	207	1
SCO0304	NC_003888.3	298468	298836	-	369	16
SCO0305	NC_003888.3	299213	302092	+	2880	519
SCO0307	NC_003888.3	303084	303971	+	888	86
SCO0308	NC_003888.3	304026	305429	+	1404	175
SCO0309	NC_003888.3	305537	306625	-	1089	81
SCO0310	NC_003888.3	306816	307466	-	651	84
SCO0311	NC_003888.3	307575	309131	+	1557	18
SCO0312	NC_003888.3	309147	310316	+	1170	19
SCO0313	NC_003888.3	310378	311727	+	1350	15
SCO0314	NC_003888.3	311724	313670	+	1947	45
SCO0315	NC_003888.3	313697	315055	-	1359	135
SCO0316	NC_003888.3	315254	316921	-	1668	131
SCO0317	NC_003888.3	316975	318237	-	1263	139
SCO0318	NC_003888.3	318329	319345	-	1017	20
SCO0319	NC_003888.3	319499	320008	-	510	25
SCO0320	NC_003888.3	320110	320583	+	474	22
SCO0321	NC_003888.3	320699	322255	+	1557	230
SCO0322	NC_003888.3	322244	323938	-	1695	155
SCO0323	NC_003888.3	324467	325069	-	603	17169
SCO0324	NC_003888.3	325238	327616	-	2379	5096
SCO0325	NC_003888.3	327899	328264	+	366	6
SCO0326	NC_003888.3	328333	329301	+	969	247
SCO0329	NC_003888.3	330235	331365	+	1131	259
SCO0330	NC_003888.3	331504	332253	+	750	94
SCO0331	NC_003888.3	332311	333210	+	900	90
SCO0332	NC_003888.3	333529	334149	+	621	81
SCO0333	NC_003888.3	334223	335734	-	1512	100
SCO0334	NC_003888.3	335948	336292	+	345	4
SCO0335	NC_003888.3	336333	339467	+	3135	263
SCO0336	NC_003888.3	339521	340630	-	1110	80
SCO0337	NC_003888.3	340752	341318	+	567	179
SCO0338	NC_003888.3	341370	341909	-	540	54
SCO0339	NC_003888.3	341992	342561	+	570	43
SCO0340	NC_003888.3	342578	343165	-	588	48
SCO0341	NC_003888.3	343234	345663	-	2430	23
SCO0342	NC_003888.3	345817	347706	-	1890	54
SCO0343	NC_003888.3	347814	348083	+	270	5
SCO0344	NC_003888.3	348137	349381	+	1245	109
SCO0345	NC_003888.3	349419	350201	-	783	168
SCO0346	NC_003888.3	350474	351352	+	879	90
SCO0347	NC_003888.3	351529	352779	+	1251	118
SCO0348	NC_003888.3	352776	353795	+	1020	75
SCO0349	NC_003888.3	353801	354805	+	1005	24
SCO0350	NC_003888.3	354802	355686	+	885	52
SCO0351	NC_003888.3	355683	357158	+	1476	42
SCO0352	NC_003888.3	357209	358477	+	1269	71
SCO0353	NC_003888.3	358481	359392	+	912	61
SCO0354	NC_003888.3	359389	360231	+	843	36
SCO0355	NC_003888.3	360305	360646	+	342	9
SCO0356	NC_003888.3	360674	361465	+	792	58
SCO0357	NC_003888.3	361759	362478	-	720	335
SCO0358	NC_003888.3	362635	363777	+	1143	163
SCO0359	NC_003888.3	363774	364496	+	723	147
SCO0360	NC_003888.3	364559	365551	-	993	345
SCO0361	NC_003888.3	365623	366795	-	1173	122
SCO0362	NC_003888.3	366935	368146	+	1212	36
SCO0363	NC_003888.3	368143	369252	+	1110	19
SCO0364	NC_003888.3	369249	370055	+	807	13
SCO0365	NC_003888.3	370066	370812	+	747	12
SCO0366	NC_003888.3	370809	371876	+	1068	31
SCO0367	NC_003888.3	371921	372478	-	558	73
SCO0368	NC_003888.3	373045	374001	+	957	381
SCO0369	NC_003888.3	373998	377255	-	3258	85
SCO0370	NC_003888.3	377286	380690	-	3405	47
SCO0371	NC_003888.3	380751	383360	-	2610	44
SCO0372	NC_003888.3	383578	386592	-	3015	58
SCO0373	NC_003888.3	386761	387360	-	600	72
SCO0374	NC_003888.3	387750	389519	+	1770	3195
SCO0375	NC_003888.3	389531	391123	-	1593	555
SCO0376	NC_003888.3	391232	391834	+	603	451
SCO0377	NC_003888.3	391950	392483	-	534	783
SCO0378	NC_003888.3	392484	393218	-	735	1868
SCO0379	NC_003888.3	393498	394961	+	1464	20672
SCO0380	NC_003888.3	395065	395460	+	396	748
SCO0381	NC_003888.3	395939	397414	+	1476	682
SCO0382	NC_003888.3	397485	398810	+	1326	789
SCO0383	NC_003888.3	398881	400104	+	1224	855
SCO0384	NC_003888.3	400179	401468	+	1290	544
SCO0385	NC_003888.3	401465	403030	+	1566	538
SCO0386	NC_003888.3	403034	404968	+	1935	442
SCO0387	NC_003888.3	405070	407250	+	2181	563
SCO0388	NC_003888.3	407253	409214	+	1962	428
SCO0389	NC_003888.3	409237	410772	+	1536	248
SCO0390	NC_003888.3	410774	412006	+	1233	124
SCO0391	NC_003888.3	412009	413250	+	1242	203
SCO0392	NC_003888.3	413247	414497	+	1251	412
SCO0393	NC_003888.3	414494	415303	+	810	252
SCO0394	NC_003888.3	415300	415947	+	648	205
SCO0395	NC_003888.3	415951	416976	+	1026	439
SCO0396	NC_003888.3	416973	418247	+	1275	510
SCO0397	NC_003888.3	418253	419542	+	1290	253
SCO0398	NC_003888.3	419539	420486	+	948	234
SCO0399	NC_003888.3	420492	421715	+	1224	313
SCO0400	NC_003888.3	421712	422263	+	552	131
SCO0401	NC_003888.3	422271	423596	+	1326	400
SCO0402	NC_003888.3	423654	424406	-	753	1001
SCO0403	NC_003888.3	424609	425226	-	618	367
SCO0404	NC_003888.3	425243	425983	+	741	206
SCO0405	NC_003888.3	426015	426833	-	819	387
SCO0406	NC_003888.3	426893	427606	+	714	36
SCO0407	NC_003888.3	427610	428614	+	1005	118
SCO0408	NC_003888.3	428615	429403	+	789	957
SCO0409	NC_003888.3	429492	429956	-	465	847
SCO0410	NC_003888.3	430071	431321	-	1251	848
SCO0411	NC_003888.3	431327	431551	+	225	394
SCO0412	NC_003888.3	431551	431934	+	384	551
SCO0413	NC_003888.3	431962	432564	-	603	467
SCO0414	NC_003888.3	432617	433513	-	897	296
SCO0415	NC_003888.3	433615	433977	+	363	53
SCO0416	NC_003888.3	433984	434589	-	606	104
SCO0417	NC_003888.3	434651	435397	-	747	77
SCO0418	NC_003888.3	435456	436103	+	648	20
SCO0419	NC_003888.3	436235	437224	+	990	208
SCO0420	NC_003888.3	437253	438287	-	1035	391
SCO0421	NC_003888.3	438329	438988	-	660	158
SCO0422	NC_003888.3	438997	440190	-	1194	204
SCO0423	NC_003888.3	440282	442579	-	2298	120
SCO0424	NC_003888.3	442700	443191	+	492	65
SCO0425	NC_003888.3	443293	444243	-	951	321
SCO0426	NC_003888.3	444441	444671	+	231	32
SCO0427	NC_003888.3	444752	445588	+	837	338
SCO0428	NC_003888.3	445611	446144	+	534	108
SCO0429	NC_003888.3	446214	447161	-	948	152
SCO0430	NC_003888.3	447185	447868	+	684	157
SCO0431	NC_003888.3	447890	449218	-	1329	140
SCO0432	NC_003888.3	449515	453252	+	3738	123
SCO0433	NC_003888.3	453370	454374	+	1005	175
SCO0434	NC_003888.3	454546	456195	+	1650	147
SCO0435	NC_003888.3	456192	457397	+	1206	70
SCO0436	NC_003888.3	457484	457654	+	171	1598
SCO0437	NC_003888.3	457670	458695	-	1026	3250
SCO0438	NC_003888.3	458695	459345	-	651	149
SCO0439	NC_003888.3	459393	460367	-	975	120
SCO0440	NC_003888.3	460364	461083	-	720	22
SCO0441	NC_003888.3	461350	462102	+	753	186
SCO0442	NC_003888.3	462099	462857	+	759	104
SCO0443	NC_003888.3	462854	463711	+	858	154
SCO0444	NC_003888.3	463698	464099	-	402	164
SCO0445	NC_003888.3	464207	465502	-	1296	465
SCO0446	NC_003888.3	465496	465861	-	366	23
SCO0447	NC_003888.3	465990	466436	+	447	100
SCO0449	NC_003888.3	468153	469232	+	1080	167
SCO0450	NC_003888.3	469315	470304	-	990	951
SCO0451	NC_003888.3	470355	471209	-	855	489
SCO0452	NC_003888.3	471415	472314	+	900	274
SCO0453	NC_003888.3	472458	473747	+	1290	58
SCO0454	NC_003888.3	473848	474789	+	942	30
SCO0455	NC_003888.3	474804	475631	+	828	31
SCO0456	NC_003888.3	475628	476671	+	1044	32
SCO0457	NC_003888.3	476738	478672	+	1935	58
SCO0458	NC_003888.3	478669	480957	+	2289	84
SCO0459	NC_003888.3	481012	481791	+	780	1100
SCO0460	NC_003888.3	481810	482319	-	510	298
SCO0461	NC_003888.3	482456	483325	+	870	265
SCO0462	NC_003888.3	483338	484267	-	930	682
SCO0463	NC_003888.3	484318	484932	+	615	644
SCO0464	NC_003888.3	484973	486670	-	1698	953
SCO0465	NC_003888.3	486684	487514	-	831	1361
SCO0466	NC_003888.3	487618	488601	+	984	357
SCO0467	NC_003888.3	488614	489357	+	744	527
SCO0468	NC_003888.3	489373	490350	-	978	438
SCO0469	NC_003888.3	490451	490972	+	522	85
SCO0470	NC_003888.3	490983	491891	+	909	76
SCO0471	NC_003888.3	491901	492881	+	981	316
SCO0472	NC_003888.3	493055	494263	-	1209	2153
SCO0473	NC_003888.3	494260	495249	-	990	697
SCO0474	NC_003888.3	495246	496493	-	1248	1030
SCO0475	NC_003888.3	496508	497359	-	852	265
SCO0476	NC_003888.3	497375	498133	+	759	681
SCO0477	NC_003888.3	498238	498630	+	393	872
SCO0478	NC_003888.3	498683	499807	-	1125	1682
SCO0479	NC_003888.3	499952	500776	-	825	120
SCO0480	NC_003888.3	500780	501412	+	633	9
SCO0481	NC_003888.3	501699	502217	+	519	158
SCO0482	NC_003888.3	502342	503076	+	735	72
SCO0483	NC_003888.3	503073	503474	-	402	76
SCO0484	NC_003888.3	503539	504705	-	1167	77
SCO0485	NC_003888.3	504854	505465	+	612	125
SCO0486	NC_003888.3	505447	506670	-	1224	53
SCO0487	NC_003888.3	506842	507348	+	507	199
SCO0488	NC_003888.3	507394	510810	+	3417	1001
SCO0489	NC_003888.3	510823	511035	-	213	645
SCO0490	NC_003888.3	511124	512215	+	1092	880
SCO0491	NC_003888.3	512302	513924	-	1623	1153
SCO0492	NC_003888.3	513989	524920	-	10932	5905
SCO0493	NC_003888.3	524978	526783	-	1806	3002
SCO0494	NC_003888.3	526786	527838	-	1053	4408
SCO0495	NC_003888.3	527889	528752	-	864	1009
SCO0496	NC_003888.3	528791	529897	-	1107	405
SCO0497	NC_003888.3	529894	530970	-	1077	834
SCO0498	NC_003888.3	530970	532325	-	1356	1633
SCO0499	NC_003888.3	532501	533448	+	948	1140
SCO0500	NC_003888.3	533534	533773	-	240	4148
SCO0501	NC_003888.3	533812	535764	-	1953	180
SCO0502	NC_003888.3	535974	536408	+	435	120
SCO0503	NC_003888.3	536532	537512	+	981	61
SCO0504	NC_003888.3	537623	538942	+	1320	721
SCO0505	NC_003888.3	539123	542131	+	3009	491
SCO0506	NC_003888.3	542269	543099	+	831	750
SCO0507	NC_003888.3	543119	543535	-	417	114
SCO0508	NC_003888.3	543545	544087	+	543	47
SCO0509	NC_003888.3	544194	545717	+	1524	22839
SCO0511	NC_003888.3	546358	547116	+	759	917
SCO0512	NC_003888.3	547135	547743	-	609	262
SCO0513	NC_003888.3	547809	548900	+	1092	357
SCO0514	NC_003888.3	548968	549621	+	654	277
SCO0516	NC_003888.3	550455	551633	+	1179	77
SCO0517	NC_003888.3	551918	552115	+	198	7
SCO0518	NC_003888.3	552094	552351	+	258	11
SCO0519	NC_003888.3	552403	553140	-	738	25
SCO0520	NC_003888.3	553277	553861	+	585	75
SCO0521	NC_003888.3	553892	554473	+	582	250
SCO0522	NC_003888.3	554649	555440	+	792	57
SCO0523	NC_003888.3	555468	555905	-	438	100
SCO0524	NC_003888.3	555990	556898	+	909	291
SCO0525	NC_003888.3	557029	557844	+	816	879
SCO0526	NC_003888.3	557882	558715	+	834	501
SCO0527	NC_003888.3	558812	559015	-	204	9198
SCO0528	NC_003888.3	559346	560098	+	753	443
SCO0529	NC_003888.3	560127	561545	-	1419	286
SCO0530	NC_003888.3	561731	562576	-	846	62
SCO0531	NC_003888.3	562803	564071	+	1269	26
SCO0532	NC_003888.3	564141	565049	+	909	27
SCO0533	NC_003888.3	565046	565903	+	858	26
SCO0534	NC_003888.3	566007	567626	+	1620	76
SCO0535	NC_003888.3	567623	569044	+	1422	68
SCO0536	NC_003888.3	569061	569282	-	222	157
SCO0537	NC_003888.3	569655	570482	+	828	137
SCO0538	NC_003888.3	570520	571848	+	1329	123
SCO0539	NC_003888.3	571863	572813	+	951	52
SCO0540	NC_003888.3	572810	573709	+	900	62
SCO0541	NC_003888.3	573756	575081	+	1326	174
SCO0542	NC_003888.3	575351	577984	+	2634	2119
SCO0543	NC_003888.3	578092	579228	+	1137	132
SCO0544	NC_003888.3	579257	580789	+	1533	184
SCO0545	NC_003888.3	580913	583459	+	2547	154
SCO0546	NC_003888.3	583523	586897	-	3375	2409
